year_month,revenue,profit,orders,units,customers
2022-01,568227.1185,385970.5725,572,5114,548
2022-02,470504.803,322786.778,469,4193,445
2022-03,554540.237,364711.622,585,5288,550
2022-04,511943.2425,339128.5005,523,4708,491
2022-05,530476.594,354354.957,541,4920,505
2022-06,554670.1415,368819.8615,546,4987,510
2022-07,550548.6315,365469.3495,559,5092,521
2022-08,528864.527,354785.248,566,4893,546
2022-09,547743.7265,364779.1395,551,5054,526
2022-10,524358.943,344086.905,558,4950,522
2022-11,512822.7135,340068.6125,531,4859,496
2022-12,589377.396,399359.991,582,5383,557
2023-01,578037.615,385325.869,576,5342,549
2023-02,519634.0855,351346.2275,510,4660,486
2023-03,532146.175,353175.05,573,4963,546
2023-04,530812.741,353890.168,548,4947,518
2023-05,541857.969,362501.996,570,4995,534
2023-06,537953.0365,355004.9465,560,5039,524
2023-07,589711.948,392981.92,603,5536,559
2023-08,563123.277,372525.496,571,5196,549
2023-09,531987.8955,358241.7825,545,4893,513
2023-10,573995.226,383868.681,564,5267,524
2023-11,557060.7465,371658.4575,562,5126,530
2023-12,484256.3135,318300.7385,519,4537,491
2024-01,515069.626,340281.167,558,4828,529
2024-02,486421.116,318342.451,527,4664,502
2024-03,555814.586,370224.466,577,5137,553
2024-04,510251.037,340541.659,552,4771,516
2024-05,540256.5875,363121.0475,555,4939,522
2024-06,525690.1495,350410.9405,525,4785,506
2024-07,530873.208,357382.801,559,4729,530
2024-08,593998.7285,398037.3605,584,5488,548
2024-09,545266.592,366719.886,548,5067,528
2024-10,548506.2025,368671.7505,561,4946,529
2024-11,490706.0775,323902.5795,519,4607,489
2024-12,510903.058,338599.764,531,4788,515
