product_id,product_name,category,revenue,profit,units,profit_margin
PROD-00135,  Clothing Item 135 ,Clothing,82033.626,34631.256,711,0.4221592740518382
PROD-00240,  Office Item 240 ,Office Supplies,80627.8615,57293.4215,716,0.710590860703902
PROD-00021,Books Item 021,Books,79631.846,39659.096,717,0.49803059946644956
PROD-00232,Toys Item 232,Toys & Games,78040.1275,51193.3775,725,0.655987876237132
PROD-00270,Clothing Item 270,Clothing,77875.2595,68853.93950000001,707,0.884156790514451
PROD-00095,Beauty Item 095,Uncategorized,77312.325,49645.295,673,0.6421394648265978
PROD-00072,Home Item 072,Home & Kitchen,77019.136,49073.296,689,0.6371571864945357
PROD-00260,Clothing Item 260,Clothing,75714.0,60481.97,649,0.7988214861188155
PROD-00168,Sports Item 168,Uncategorized,75636.74,48572.78,696,0.6421850016275159
PROD-00283,Toys Item 283,Toys & Games,75536.53600000001,52280.426,659,0.692121041928637
PROD-00057,Sports Item 057,Sports & Outdoors,75495.695,51331.155,683,0.6799216167226488
PROD-00230,Office Item 230,Office Supplies,74433.701,62408.021,712,0.8384376990739719
PROD-00272,Books Item 272,Books,74156.0215,66388.2615,679,0.8952511226616977
PROD-00040,Office Item 040,Office Supplies,74060.837,49814.746999999996,627,0.6726192819019855
PROD-00294,Home Item 294,Home & Kitchen,73894.388,54189.578,699,0.7333382069555809
PROD-00293,Home Item 293,Home & Kitchen,73627.477,-4571.302999999993,654,-0.062086916274477155
PROD-00009,Home Item 009,Home & Kitchen,73357.421,54590.751000000004,599,0.7441748940437806
PROD-00088,Home Item 088,Home & Kitchen,73143.8135,66573.5835,659,0.9101738112137124
PROD-00157,Books Item 157,Books,73087.0345,54274.5345,625,0.74260140490445
PROD-00181,Office Item 181,Office Supplies,72927.0715,60964.5715,638,0.8359662639133946
