order_id,customer_id,order_date,payment_method,channel,region,status
ORD-0000001,CUST-000609,2022-04-02 13:50:51,CC,Marketplace,West,Completed
ORD-0000002,CUST-002431,2023-07-15 07:34:01,DC,Mobile App,West,Completed
ORD-0000003,CUST-003075,2023-03-03 08:56:36,PayPal,Mobile App,East,Completed
ORD-0000004,CUST-003306,2023-01-03 21:34:09,COD,Marketplace,West,Completed
ORD-0000005,CUST-001402,2023-11-09 05:29:18,CC,Mobile App,North,Completed
ORD-0000006,CUST-001866,2023-12-20 03:28:13,Bank Transfer,Web,South,Completed
ORD-0000007,CUST-004157,2024-01-20 01:35:09,PayPal,Marketplace,East,Completed
ORD-0000008,CUST-001389,2024-03-06 01:52:02,DC,Marketplace,South,Completed
ORD-0000009,CUST-003856,2022-11-11 06:08:00,PayPal,Web,East,Pending
ORD-0000010,CUST-002951,2023-05-01 01:39:18,Bank Transfer,Web,North,Refunded
ORD-0000011,CUST-000140,2022-01-09 09:41:49,PayPal,Marketplace,Central,Pending
ORD-0000012,CUST-001108,2024-08-27 13:14:42,DC,Web,East,Completed
ORD-0000013,CUST-004029,2022-03-15 13:37:07,Bank Transfer,Marketplace,South,Completed
ORD-0000014,CUST-002999,2024-01-03 14:37:50,DC,Marketplace,East,Completed
ORD-0000015,CUST-000519,2024-12-12 05:36:04,COD,Mobile App,South,Completed
ORD-0000016,CUST-003595,2023-09-01 19:17:31,Bank Transfer,Marketplace,Central,Completed
ORD-0000017,CUST-002829,2024-01-07 17:46:46,DC,Web,Central,Completed
ORD-0000018,CUST-001031,2024-04-11 22:55:31,Bank Transfer,Web,Central,Completed
ORD-0000019,CUST-000083,2023-09-15 09:10:12,Bank Transfer,Mobile App,North,Completed
ORD-0000020,CUST-002578,2022-02-01 12:07:46,Bank Transfer,Marketplace,West,Completed
ORD-0000021,CUST-002648,2024-11-22 21:40:21,COD,Marketplace,North,Completed
ORD-0000022,CUST-002647,,COD,Mobile App,South,Completed
ORD-0000023,CUST-001387,2023-08-16 06:36:53,CC,Mobile App,South,Completed
ORD-0000024,CUST-003272,2023-05-05 02:19:58,COD,Web,North,Completed
ORD-0000025,CUST-004618,2024-08-19 03:40:02,DC,Mobile App,South,Completed
ORD-0000026,CUST-000644,2022-07-06 10:58:01,DC,Web,South,Completed
ORD-0000027,CUST-000892,2022-10-01 05:15:28,DC,Web,Central,Completed
ORD-0000028,CUST-000989,2023-07-07 00:04:19,DC,Marketplace,East,Pending
ORD-0000029,CUST-002441,2022-10-07 05:18:09,PayPal,Marketplace,Central,Completed
ORD-0000030,CUST-002354,2023-05-07 00:48:50,DC,Web,South,Completed
ORD-0000031,CUST-000457,2022-01-31 00:59:29,CC,Web,South,Completed
ORD-0000032,CUST-004945,2022-12-17 19:49:38,DC,Mobile App,South,Completed
ORD-0000033,CUST-004801,2024-09-27 20:39:00,CC,Marketplace,South,Completed
ORD-0000034,CUST-001326,2023-10-23 13:51:30,CC,Marketplace,West,Refunded
ORD-0000035,CUST-001506,2023-07-29 18:54:44,PayPal,Mobile App,West,Completed
ORD-0000036,CUST-002342,2022-04-25 19:33:52,COD,Mobile App,West,Completed
ORD-0000037,CUST-002973,2023-03-18 13:41:18,CC,Mobile App,North,Completed
ORD-0000038,CUST-000003,2024-08-10 01:26:49,COD,Web,West,Completed
ORD-0000039,CUST-001946,2024-02-11 01:59:36,DC,Mobile App,South,Pending
ORD-0000040,CUST-002740,2024-05-16 17:06:28,DC,Mobile App,North,Completed
ORD-0000041,CUST-001621,2024-05-29 06:48:32,COD,Web,East,Completed
ORD-0000042,CUST-004901,2024-08-21 16:24:04,Bank Transfer,Web,Central,Completed
ORD-0000043,CUST-001494,2023-09-08 07:04:20,COD,Web,North,Completed
ORD-0000044,CUST-001362,2022-11-24 06:02:05,DC,Web,Central,Pending
ORD-0000045,CUST-001613,2024-12-05 03:00:41,DC,Marketplace,East,Completed
ORD-0000046,CUST-001339,2023-03-22 12:18:02,COD,Web,West,Completed
ORD-0000047,CUST-000225,2023-08-20 01:32:33,CC,Mobile App,East,Completed
ORD-0000048,CUST-002552,2023-11-25 05:50:24,DC,Marketplace,South,Completed
ORD-0000049,CUST-003029,2024-03-05 16:07:15,CC,Marketplace,Central,Completed
ORD-0000050,CUST-001858,2023-12-15 01:15:35,PayPal,Mobile App,South,Completed
ORD-0000051,CUST-001550,2023-02-07 23:24:02,Bank Transfer,Mobile App,North,Completed
ORD-0000052,CUST-001612,2023-12-02 20:07:38,DC,Web,Central,Completed
ORD-0000053,CUST-004772,2024-01-18 22:43:27,CC,Marketplace,Central,Completed
ORD-0000054,CUST-001985,2022-03-08 21:05:30,PayPal,Mobile App,Central,Completed
ORD-0000055,CUST-004673,2023-12-09 02:09:18,COD,Marketplace,South,Completed
ORD-0000056,CUST-003908,2022-09-22 08:11:30,DC,Marketplace,South,Completed
ORD-0000057,CUST-003949,2022-01-10 20:22:22,Bank Transfer,Web,Central,Completed
ORD-0000058,CUST-002487,2024-10-27 10:50:56,Bank Transfer,Marketplace,West,Completed
ORD-0000059,CUST-002868,2022-12-11 22:33:54,CC,Mobile App,Central,Completed
ORD-0000060,CUST-003005,2024-02-19 13:13:06,CC,Marketplace,West,Completed
ORD-0000061,CUST-001142,2024-07-27 00:01:28,DC,Mobile App,South,Completed
ORD-0000062,CUST-003023,2023-06-26 22:47:18,CC,Web,North,Pending
ORD-0000063,CUST-003015,2023-12-29 14:56:42,DC,Marketplace,East,Cancelled
ORD-0000064,CUST-001171,2024-05-15 14:51:37,Bank Transfer,Mobile App,Central,Completed
ORD-0000065,CUST-004667,2023-06-28 01:47:48,PayPal,Marketplace,West,Completed
ORD-0000066,CUST-000291,2023-05-24 07:17:44,Bank Transfer,Mobile App,South,Completed
ORD-0000067,CUST-002662,2023-02-11 05:40:31,CC,Mobile App,East,Completed
ORD-0000068,CUST-001843,2022-10-15 14:51:14,CC,Mobile App,South,Completed
ORD-0000069,CUST-000481,2023-03-02 17:25:12,CC,Mobile App,South,Pending
ORD-0000070,CUST-002184,2023-01-25 04:21:37,CC,Marketplace,North,Completed
ORD-0000071,CUST-003370,2024-12-28 09:00:34,CC,Marketplace,East,Completed
ORD-0000072,CUST-000640,2023-01-17 05:57:14,PayPal,Web,West,Completed
ORD-0000073,CUST-003640,2023-07-31 15:56:53,COD,Mobile App,North,Completed
ORD-0000074,CUST-003124,2023-08-18 10:15:37,DC,Marketplace,West,Completed
ORD-0000075,CUST-001907,2022-03-17 16:59:28,CC,Mobile App,Central,Completed
ORD-0000076,CUST-000326,2022-05-22 01:20:05,CC,Web,East,Refunded
ORD-0000077,CUST-002376,2024-12-08 00:20:14,PayPal,Mobile App,Central,Completed
ORD-0000078,CUST-001056,2022-08-03 04:05:41,COD,Mobile App,East,Completed
ORD-0000079,CUST-000162,2022-02-22 10:10:30,PayPal,Marketplace,North,Completed
ORD-0000080,CUST-000506,2024-06-18 06:10:23,DC,Marketplace,North,Completed
ORD-0000081,CUST-002404,2022-12-21 01:07:12,PayPal,Marketplace,Central,Completed
ORD-0000082,CUST-003394,2023-08-16 02:03:38,PayPal,Web,South,Completed
ORD-0000083,CUST-003756,2022-03-24 09:59:38,DC,Web,North,Completed
ORD-0000084,CUST-003035,2022-01-20 07:54:06,CC,Mobile App,Central,Completed
ORD-0000085,CUST-004503,2023-10-11 01:24:58,Bank Transfer,Mobile App,North,Completed
ORD-0000086,CUST-003645,2024-01-03 23:34:26,CC,Mobile App,North,Completed
ORD-0000087,CUST-001868,2023-12-09 02:37:13,PayPal,Mobile App,North,Completed
ORD-0000088,CUST-000987,2023-06-29 04:47:27,Bank Transfer,Mobile App,North,Completed
ORD-0000089,CUST-000533,2023-12-03 08:23:10,COD,Mobile App,North,Completed
ORD-0000090,CUST-002744,2022-09-08 04:16:38,CC,Marketplace,West,Completed
ORD-0000091,CUST-003858,2022-07-17 09:19:21,DC,Mobile App,Central,Completed
ORD-0000092,CUST-000917,2022-03-15 14:18:16,CC,Marketplace,West,Cancelled
ORD-0000093,CUST-000086,2023-06-06 18:09:52,DC,Mobile App,East,Completed
ORD-0000094,CUST-000296,2024-10-14 07:17:03,Bank Transfer,Web,South,Completed
ORD-0000095,CUST-003594,2022-10-25 11:43:13,CC,Marketplace,East,Completed
ORD-0000096,CUST-001449,2023-09-08 00:43:41,COD,Marketplace,West,Completed
ORD-0000097,CUST-000283,2024-05-27 21:35:23,DC,Mobile App,South,Completed
ORD-0000098,CUST-003339,2022-03-21 03:36:33,CC,Marketplace,Central,Completed
ORD-0000099,CUST-000610,2022-07-21 09:47:23,CC,Web,Central,Completed
ORD-0000100,CUST-004138,2022-08-23 05:59:52,COD,Mobile App,North,Refunded
ORD-0000101,CUST-004811,2022-10-05 23:24:24,DC,Marketplace,Central,Completed
ORD-0000102,CUST-002506,2022-06-07 12:12:45,COD,Mobile App,Central,Completed
ORD-0000103,CUST-002916,2023-06-27 23:09:11,DC,Mobile App,East,Completed
ORD-0000104,CUST-001218,2024-04-09 15:31:25,PayPal,Marketplace,South,Completed
ORD-0000105,CUST-004363,2024-06-06 22:46:06,COD,Mobile App,West,Pending
ORD-0000106,CUST-004495,2022-05-09 00:00:00,CC,Mobile App,North,Cancelled
ORD-0000107,CUST-001402,2022-10-05 17:03:04,DC,Mobile App,South,Completed
ORD-0000108,CUST-003491,2024-10-06 17:08:21,Bank Transfer,Marketplace,Central,Completed
ORD-0000109,CUST-003158,2024-07-21 16:42:12,COD,Web,North,Completed
ORD-0000110,CUST-004184,2022-10-03 09:09:17,CC,Marketplace,Central,Completed
ORD-0000111,CUST-002937,2022-06-20 07:58:22,DC,Marketplace,North,Refunded
ORD-0000112,CUST-003723,2023-01-01 01:59:37,COD,Web,South,Completed
ORD-0000113,CUST-003157,2022-06-21 14:06:14,DC,Web,North,Completed
ORD-0000114,CUST-001238,2023-10-29 04:15:53,DC,Mobile App,West,Completed
ORD-0000115,CUST-004606,2024-05-07 21:21:04,Bank Transfer,Web,North,Pending
ORD-0000116,CUST-000164,2023-07-09 00:03:35,DC,Marketplace,North,Completed
ORD-0000117,CUST-001479,2024-09-04 14:14:19,Bank Transfer,Web,West,Completed
ORD-0000118,CUST-004331,2024-05-04 08:19:13,DC,Web,Central,Completed
ORD-0000119,CUST-002839,2022-04-01 14:14:25,Bank Transfer,Marketplace,West,Completed
ORD-0000120,CUST-004041,2024-05-26 00:18:45,PayPal,Mobile App,North,Completed
ORD-0000121,CUST-000218,2022-03-17 12:22:12,CC,Marketplace,Central,Completed
ORD-0000122,CUST-001787,2022-03-30 15:08:57,COD,Web,East,Completed
ORD-0000123,CUST-004838,2024-10-31 01:17:52,PayPal,Mobile App,West,Pending
ORD-0000124,CUST-002553,2022-06-09 21:18:02,COD,Marketplace,East,Completed
ORD-0000125,CUST-001039,2023-06-20 07:41:20,Bank Transfer,Web,West,Completed
ORD-0000126,CUST-000106,2023-01-04 21:42:28,COD,Marketplace,North,Completed
ORD-0000127,CUST-000756,2022-08-29 22:57:00,COD,Web,East,Completed
ORD-0000128,CUST-004396,2023-03-08 15:02:20,Bank Transfer,Marketplace,East,Completed
ORD-0000129,CUST-001942,2022-10-02 03:24:38,Bank Transfer,Mobile App,East,Completed
ORD-0000130,CUST-000767,2022-09-01 17:24:43,Bank Transfer,Mobile App,East,Completed
ORD-0000131,CUST-000333,2023-07-26 06:51:17,Bank Transfer,Mobile App,South,Completed
ORD-0000132,CUST-000862,2023-11-12 16:13:48,PayPal,Marketplace,South,Pending
ORD-0000133,CUST-002640,2022-04-18 19:36:06,DC,Marketplace,West,Completed
ORD-0000134,CUST-001621,2022-05-01 07:45:06,Bank Transfer,Mobile App,East,Completed
ORD-0000135,CUST-003622,2024-01-08 14:24:16,Bank Transfer,Mobile App,South,Completed
ORD-0000136,CUST-002663,2022-06-03 11:29:10,DC,Mobile App,West,Completed
ORD-0000137,CUST-004903,2022-10-07 18:04:33,CC,Marketplace,North,Completed
