product_id,product_name,category,sub_category,unit_cost,unit_price,launch_date,stock_units
PROD-00001,Toys Item 001,Uncategorized,Standard,40.91,86.66,2024-12-06,598
PROD-00002,Toys Item 002,Toys & Games,Budget,27.42,43.52,2022-02-06,923
PROD-00003,  Books Item 003 ,Books,Standard,74.75,191.65,2024-05-09,322
PROD-00004,Beauty Item 004,Beauty,Budget,48.0,79.43,2024-02-12,1311
PROD-00005,Office Item 005,Office Supplies,Premium,22.06,44.78,2023-03-05,320
PROD-00006,Office Item 006,Office Supplies,Premium,22.02,38.52,2024-12-30,1308
PROD-00007,Office Item 007,Uncategorized,Standard,15.07,27.72,2024-12-01,925
PROD-00008,Beauty Item 008,Beauty,Premium,36.59,85.7,2022-03-07,1360
PROD-00009,Home Item 009,Home & Kitchen,Premium,31.33,45.61,2024-09-21,699
PROD-00010,Home Item 010,Home & Kitchen,Premium,11.31,18.15,2023-06-01,819
PROD-00011,  Electronics Item 011 ,Electronics,Standard,20.08,38.72,2023-08-12,426
PROD-00012,Electronics Item 012,Electronics,Budget,24.77,49.4,2024-03-27,531
PROD-00013,Books Item 013,Books,Standard,49.55,100.29,2024-10-10,389
PROD-00014,  Home Item 014 ,Home & Kitchen,Premium,13.03,21.13,2022-11-02,610
PROD-00015,Books Item 015,Books,Standard,47.2,77.18,2022-01-27,1396
PROD-00016,Office Item 016,Office Supplies,Premium,33.47,1483.6499999999908,2022-07-27,1175
PROD-00017,Office Item 017,Office Supplies,Premium,10.91,19.94,2022-01-01,247
PROD-00018,  Clothing Item 018 ,Clothing,Premium,18.49,37.93,2022-04-29,401
PROD-00019,Toys Item 019,Toys & Games,Standard,36.82,95.15,2023-01-04,1250
PROD-00020,Clothing Item 020,Clothing,Budget,23.26,38.11,2024-03-19,1266
PROD-00021,Books Item 021,Books,Premium,55.75,83.0,2024-06-06,169
PROD-00022,Toys Item 022,Toys & Games,Standard,52.72,81.14,2024-05-10,562
PROD-00023,Office Item 023,Office Supplies,Premium,36.98,54.59,2022-03-01,1000
PROD-00024,  Sports Item 024 ,Sports & Outdoors,Standard,54.05,96.76,2023-01-10,907
PROD-00025,Beauty Item 025,Beauty,Standard,49.27,96.9,2024-01-21,276
PROD-00026,Electronics Item 026,Electronics,Budget,66.53,150.08,2023-05-23,217
PROD-00027,Sports Item 027,Sports & Outdoors,Premium,37.67,75.06,2022-01-11,154
PROD-00028,Toys Item 028,Toys & Games,Premium,73.18,140.0,2024-12-10,453
PROD-00029,Home Item 029,Home & Kitchen,Premium,31.72,63.77,2023-11-08,324
PROD-00030,Electronics Item 030,Electronics,Premium,24.65,41.88,2024-10-05,604
PROD-00031,Clothing Item 031,Clothing,Budget,70.93,105.85,2024-02-24,773
PROD-00032,Books Item 032,Books,Premium,21.25,33.86,2022-03-19,1126
PROD-00033,Toys Item 033,Toys & Games,Premium,52.25,84.85,2023-08-31,303
PROD-00034,Sports Item 034,Sports & Outdoors,Premium,36.92,75.58,2024-03-25,1005
PROD-00035,Home Item 035,Home & Kitchen,Premium,18.72,35.8,2022-09-25,615
PROD-00036,Toys Item 036,Toys & Games,Budget,24.18,58.83,2023-06-01,575
PROD-00037,Office Item 037,Office Supplies,Premium,30.1,50.16,2022-03-20,779
PROD-00038,Electronics Item 038,Electronics,Standard,25.73,46.45,2022-05-06,880
PROD-00039,Office Item 039,Office Supplies,Budget,27.0,60.58,2023-05-01,1006
PROD-00040,Office Item 040,Office Supplies,Budget,38.67,99.23,2024-12-24,1266
PROD-00041,  Home Item 041 ,Home & Kitchen,Premium,8.21,11.86,2023-06-08,250
PROD-00042,Clothing Item 042,Clothing,Premium,29.49,59.07,2022-05-03,940
PROD-00043,Home Item 043,Home & Kitchen,Budget,26.46,52.59,2022-02-22,1031
PROD-00044,Books Item 044,Books,Standard,36.31,61.38,2024-12-27,1474
PROD-00045,  Electronics Item 045 ,Electronics,Budget,59.3,134.84,2022-08-03,1342
PROD-00046,Clothing Item 046,Clothing,Standard,47.57,102.69,2022-05-05,706
PROD-00047,Toys Item 047,Toys & Games,Standard,43.17,103.71,2024-08-10,1306
