return_id,item_id,order_id,return_date,reason,refund_amount
RET-000001,ITEM-00038579,ORD-0013009,2024-04-12,Late Delivery,127.28
RET-000002,ITEM-00010698,ORD-0018992,2024-09-11,Changed Mind,674.64
RET-000003,ITEM-00068659,ORD-0002055,,Late Delivery,484.68
RET-000004,ITEM-00041200,ORD-0019889,,Damaged,559.02
RET-000005,ITEM-00059385,ORD-0018768,,Not as Described,1248.8
RET-000006,ITEM-00043965,ORD-0014085,,Late Delivery,502.16
RET-000007,ITEM-00021272,ORD-0008824,,Changed Mind,1239.65
RET-000008,ITEM-00003228,ORD-0005317,,Changed Mind,196.89
RET-000009,ITEM-00065473,ORD-0014055,,Damaged,192.84
RET-000010,ITEM-00059997,ORD-0009095,,Late Delivery,211.86
RET-000011,ITEM-00018359,ORD-0017205,2023-01-12,Not as Described,359.84
RET-000012,ITEM-00063523,ORD-0007658,,Not as Described,898.9
RET-000013,ITEM-00065135,ORD-0005479,,Wrong Item,1205.6
RET-000014,ITEM-00061794,ORD-0006506,,Damaged,213.33
RET-000015,ITEM-00056756,ORD-0004673,,Changed Mind,346.41
RET-000016,ITEM-00050495,ORD-0010217,,Late Delivery,397.38
RET-000017,ITEM-00030536,ORD-0005421,,Late Delivery,414.6
RET-000018,ITEM-00027713,ORD-0010802,,Late Delivery,735.32
RET-000019,ITEM-00036157,ORD-0002632,,Damaged,154.86
RET-000020,ITEM-00047593,ORD-0001672,,Late Delivery,380.8
RET-000021,ITEM-00021189,ORD-0010695,,Changed Mind,625.77
RET-000022,ITEM-00051954,ORD-0020232,,Changed Mind,386.92
RET-000023,ITEM-00021112,ORD-0016606,,Late Delivery,117.68
RET-000024,ITEM-00003112,ORD-0007510,2023-12-06,Damaged,14.83
RET-000025,ITEM-00019599,ORD-0024795,2022-08-11,Changed Mind,239.71
RET-000026,ITEM-00051548,ORD-0013002,,Wrong Item,1042.45
RET-000027,ITEM-00040431,ORD-0004649,,Changed Mind,100.19
RET-000028,ITEM-00057892,ORD-0019810,2022-07-05,Wrong Item,170.04
RET-000029,ITEM-00056189,ORD-0010688,,Wrong Item,139.82
RET-000030,ITEM-00064538,ORD-0020964,2022-01-03,Wrong Item,52.18
RET-000031,ITEM-00039616,ORD-0016087,,Wrong Item,169.8
RET-000032,ITEM-00025430,ORD-0023185,,Damaged,67.52
RET-000033,ITEM-00056998,ORD-0014763,,Not as Described,72.54
RET-000034,ITEM-00067816,ORD-0024260,2024-10-04,Damaged,178.72
RET-000035,ITEM-00017920,ORD-0019647,2022-08-12,Wrong Item,974.8
RET-000036,ITEM-00032292,ORD-0010897,,Late Delivery,371.6
