item_id,order_id,product_id,quantity,discount,unit_price
ITEM-00000001,ORD-0016650,PROD-00281,4,0.1,138.22
ITEM-00000002,ORD-0006220,PROD-00074,1,0.05,194.92
ITEM-00000003,ORD-0019678,PROD-00188,1,0.25,208.31
ITEM-00000004,ORD-0017989,PROD-00157,1,0.2,139.14
ITEM-00000005,ORD-0006715,PROD-00101,5,0.3,139.58
ITEM-00000006,ORD-0003113,PROD-00068,4,0.25,33.9
ITEM-00000007,ORD-0013122,PROD-00168,2,0.25,16.41
ITEM-00000008,ORD-0000892,PROD-00220,5,0.15,112.3
ITEM-00000009,ORD-0012136,PROD-00174,2,0.2,27.74
ITEM-00000010,ORD-0023044,PROD-00244,4,0.15,98.93
ITEM-00000011,ORD-0015566,PROD-00039,5,0.05,58.33
ITEM-00000012,ORD-0022360,PROD-00201,4,0.15,46.92
ITEM-00000013,ORD-0007587,PROD-00295,1,0.0,204.59
ITEM-00000014,ORD-0012786,PROD-00172,1,0.05,89.88
ITEM-00000015,ORD-0016305,PROD-00085,2,0.2,80.27
ITEM-00000016,ORD-0009841,PROD-00082,1,0.05,153.7
ITEM-00000017,ORD-0011860,PROD-00125,4,0.05,15.93
ITEM-00000018,ORD-0017507,PROD-00225,3,0.0,241.5
ITEM-00000019,ORD-0019070,PROD-00249,3,0.15,162.2
ITEM-00000020,ORD-0000557,PROD-00250,4,0.05,34.94
ITEM-00000021,ORD-0011734,PROD-00032,1,0.25,15.25
ITEM-00000022,ORD-0023095,PROD-00137,1,0.0,154.9
ITEM-00000023,ORD-0021941,PROD-00023,2,0.2,154.69
ITEM-00000024,ORD-0021812,PROD-00135,4,0.0,34.19
ITEM-00000025,ORD-0013081,PROD-00190,5,0.3,86.8
ITEM-00000026,ORD-0020084,PROD-00069,4,0.1,236.24
ITEM-00000027,ORD-0010864,PROD-00169,4,0.1,234.36
ITEM-00000028,ORD-0008385,PROD-00289,4,0.2,196.32
ITEM-00000029,ORD-0014099,PROD-00255,1,0.1,161.38
ITEM-00000030,ORD-0005509,PROD-00122,1,0.25,249.68
ITEM-00000031,ORD-0019274,PROD-00022,4,0.25,154.06
ITEM-00000032,ORD-0004123,PROD-00252,3,0.25,78.45
ITEM-00000033,ORD-0006066,PROD-00269,1,0.0,132.73
ITEM-00000034,ORD-0017423,PROD-00261,-2,0.2,211.6
ITEM-00000035,ORD-0012198,PROD-00056,1,0.0,21.33
ITEM-00000036,ORD-0021985,PROD-00245,4,0.05,14.15
ITEM-00000037,ORD-0012326,PROD-00188,4,0.05,10.52
