return_id,item_id,order_id,return_date,reason,refund_amount
RET-000001,ITEM-00038579,ORD-0013009,2024-12-04,Late Delivery,127.28
RET-000002,ITEM-00010698,ORD-0018992,2024-11-09,Changed Mind,674.64
RET-000003,ITEM-00068659,ORD-0002055,2023-05-22,Late Delivery,484.68
RET-000004,ITEM-00041200,ORD-0019889,2024-03-25,Damaged,559.02
RET-000005,ITEM-00059385,ORD-0018768,2023-08-26,Not as Described,1248.8
RET-000006,ITEM-00043965,ORD-0014085,2022-08-16,Late Delivery,502.16
RET-000007,ITEM-00021272,ORD-0008824,2023-11-24,Changed Mind,1239.65
RET-000008,ITEM-00003228,ORD-0005317,2025-01-08,Changed Mind,196.89
RET-000009,ITEM-00065473,ORD-0014055,2022-06-25,Damaged,192.84
RET-000010,ITEM-00059997,ORD-0009095,2022-12-28,Late Delivery,211.86
RET-000011,ITEM-00018359,ORD-0017205,2023-12-01,Not as Described,359.84
RET-000012,ITEM-00063523,ORD-0007658,2022-12-30,Not as Described,898.9
RET-000013,ITEM-00065135,ORD-0005479,2023-11-20,WrongItem,1205.6
RET-000014,ITEM-00061794,ORD-0006506,2022-09-26,Damaged,213.33
RET-000015,ITEM-00056756,ORD-0004673,2024-09-25,Changed Mind,346.41
RET-000016,ITEM-00050495,ORD-0010217,2023-11-14,Late Delivery,397.38
RET-000017,ITEM-00030536,ORD-0005421,2024-12-25,Late Delivery,414.6
RET-000018,ITEM-00027713,ORD-0010802,2024-11-16,Late Delivery,735.32
RET-000019,ITEM-00036157,ORD-0002632,2024-08-20,Damaged,154.86
RET-000020,ITEM-00047593,ORD-0001672,2024-05-19,Late Delivery,380.8
RET-000021,ITEM-00021189,ORD-0010695,2023-01-27,Changed Mind,625.77
RET-000022,ITEM-00051954,ORD-0020232,2023-02-13,Changed Mind,386.92
RET-000023,ITEM-00021112,ORD-0016606,2022-05-30,Late Delivery,117.68
RET-000024,ITEM-00003112,ORD-0007510,2023-06-12,Damaged,14.83
RET-000025,ITEM-00019599,ORD-0024795,2022-11-08,Changed Mind,239.71
RET-000026,ITEM-00051548,ORD-0013002,2022-07-27,WrongItem,1042.45
RET-000027,ITEM-00040431,ORD-0004649,2024-06-13,Changed Mind,100.19
RET-000028,ITEM-00057892,ORD-0019810,2022-05-07,WrongItem,170.04
RET-000029,ITEM-00056189,ORD-0010688,2025-01-17,WrongItem,139.82
RET-000030,ITEM-00064538,ORD-0020964,2022-03-01,WrongItem,52.18
RET-000031,ITEM-00039616,ORD-0016087,2023-03-21,WrongItem,169.8
RET-000032,ITEM-00025430,ORD-0023185,2024-09-16,Damaged,67.52
RET-000033,ITEM-00056998,ORD-0014763,2023-04-26,Not as Described,72.54
RET-000034,ITEM-00067816,ORD-0024260,2024-04-10,Damaged,178.72
RET-000035,ITEM-00017920,ORD-0019647,2022-12-08,WrongItem,974.8
RET-000036,ITEM-00032292,ORD-0010897,2022-07-29,Late Delivery,371.6
RET-000037,ITEM-00061033,ORD-0012696,2022-03-07,Changed Mind,302.36
RET-000038,ITEM-00004593,ORD-0012484,2023-04-24,WrongItem,178.16
RET-000039,ITEM-00024982,ORD-0024193,2024-07-07,Changed Mind,151.5
RET-000040,ITEM-00021689,ORD-0005101,2022-11-24,Changed Mind,129.95
RET-000041,ITEM-00052829,ORD-0017462,2022-04-09,Changed Mind,777.8
RET-000042,ITEM-00049450,ORD-0008875,2022-06-25,Changed Mind,248.77
RET-000043,ITEM-00064137,ORD-0024312,2022-05-28,Late Delivery,493.56
RET-000044,ITEM-00054778,ORD-0003695,2022-05-08,Not as Described,901.0
RET-000045,ITEM-00036073,ORD-0005331,2023-09-15,WrongItem,96.4
RET-000046,ITEM-00002032,ORD-0013444,2023-07-03,Damaged,105.3
RET-000047,ITEM-00042637,ORD-0000536,2022-05-28,Not as Described,549.16
RET-000048,ITEM-00016267,ORD-0010221,2022-06-07,WrongItem,225.23
RET-000049,ITEM-00044990,ORD-0024140,2022-04-26,Changed Mind,528.42
RET-000050,ITEM-00021644,ORD-0013070,2024-02-04,Damaged,124.7
